,AHRI Certified Reference Number,Model Status,Manufacturer,Model Number,Indoor Unit Model Number,AHRI Type,unit cooling BTUH,Equipment EER,Equipment SEER/IEER,Full Load Indoor Coil Air Quantity (scfm)
27,201986879,Active,fujitsu,RACDZS102AD*****A,,SPY-A,96000.0,11.2,12.9,3225.0
28,201986880,Active,fujitsu,RACDZS120AC*****A,,SPY-A,114000.0,11.2,12.9,3480.0
29,201986881,Active,fujitsu,RACDZS120AD*****A,,SPY-A,114000.0,11.2,12.9,3480.0
30,201986882,Active,fujitsu,RACDZT090AC*****A,,SPY-A,85000.0,11.2,14.8,3175.0
31,201986883,Active,fujitsu,RACDZT090AD*****A,,SPY-A,85000.0,11.2,14.8,3175.0
32,201986884,Active,fujitsu,RACDZT102AC*****A,,SPY-A,96000.0,11.2,14.8,3225.0
33,201986885,Active,fujitsu,RACDZT102AD*****A,,SPY-A,96000.0,11.2,14.8,3225.0
34,201986886,Active,fujitsu,RACDZT120AC*****A,,SPY-A,114000.0,11.2,14.8,3480.0
35,201986887,Active,fujitsu,RACDZT120AD*****A,,SPY-A,114000.0,11.2,14.8,3480.0
36,201990198,Active,daikin,DX11TA0903A*,DAT09043A*,RCU-A-CB,93000.0,11.2,13.0,3000.0
37,201990199,Active,daikin,DX11TA0903A*,(2)CA*F4961*6D*+TXV,RCU-A-C,93000.0,11.2,13.0,3000.0
38,201990200,Active,daikin,DX11TA0904A*,DAT09044A*,RCU-A-CB,93000.0,11.2,13.0,3000.0
39,201990201,Active,daikin,DX11TA0904A*,(2)CA*F4961*6D*+TXV,RCU-A-C,93000.0,11.2,13.0,3000.0
40,201990202,Active,daikin,DX11TA1203A*,DAT12043A*,RCU-A-CB,120000.0,11.2,13.5,3800.0
41,201990203,Active,daikin,DX11TA1203A*,(2)CA*F4961*6D*+TXV,RCU-A-C,116000.0,11.2,13.0,3000.0
42,201990204,Active,daikin,DX11TA1204A*,DAT12044A*,RCU-A-CB,120000.0,11.2,13.5,3800.0
43,201990205,Active,daikin,DX11TA1204A*,(2)CA*F4961*6D*+TXV,RCU-A-C,116000.0,11.2,13.0,3000.0
44,201990206,Active,daikin,DZ11TA0903A*,DAT09043A*,HRCU-A-CB,93000.0,11.0,13.0,3000.0
45,201990207,Active,daikin,DZ11TA0904A*,DAT09044A*,HRCU-A-CB,93000.0,11.0,13.0,3000.0
46,201990284,Active,daikin,MPS007DYC*****A,,SPY-A,85000.0,11.2,12.9,3175.0
47,201990285,Active,daikin,MPS007DYD*****A,,SPY-A,85000.0,11.2,12.9,3175.0
48,201990286,Active,daikin,MPS007DYY*****A,,SPY-A,85000.0,11.2,12.9,3175.0
49,201990287,Active,daikin,MPS008DYC*****A,,SPY-A,96000.0,11.2,12.9,3275.0
50,201990288,Active,daikin,MPS008DYD*****A,,SPY-A,96000.0,11.2,12.9,3275.0
51,201990289,Active,daikin,MPS008DYY*****A,,SPY-A,96000.0,11.2,12.9,3275.0
52,201990290,Active,daikin,MPS010DYC*****A,,SPY-A,114000.0,11.2,12.9,3480.0
53,201990291,Active,daikin,MPS010DYD*****A,,SPY-A,114000.0,11.2,12.9,3480.0
54,201990292,Active,daikin,MPS010DYY*****A,,SPY-A,114000.0,11.2,12.9,3480.0
55,201990293,Active,daikin,MPSA07DYC*****A,,SPY-A,85000.0,11.2,12.9,3175.0
56,201990294,Active,daikin,MPSA07DYD*****A,,SPY-A,85000.0,11.2,12.9,3175.0
57,201990295,Active,daikin,MPSA07DYY*****A,,SPY-A,85000.0,11.2,12.9,3175.0
58,201990296,Active,daikin,MPSA08DYC*****A,,SPY-A,96000.0,11.2,12.9,3225.0
59,201990297,Active,daikin,MPSA08DYD*****A,,SPY-A,96000.0,11.2,12.9,3225.0
60,201990298,Active,daikin,MPSA08DYY*****A,,SPY-A,96000.0,11.2,12.9,3225.0
61,201990299,Active,daikin,MPSA10DYC*****A,,SPY-A,114000.0,11.2,12.9,3480.0
62,201990300,Active,daikin,MPSA10DYD*****A,,SPY-A,114000.0,11.2,12.9,3480.0
63,201990301,Active,daikin,MPSH07DYC*****A,,SPY-A,85000.0,11.2,14.8,3175.0
64,201990302,Active,daikin,MPSH07DYD*****A,,SPY-A,85000.0,11.2,14.8,3175.0
65,201990303,Active,daikin,MPSH08DYC*****A,,SPY-A,96000.0,11.2,14.8,3225.0
66,201990304,Active,daikin,MPSH08DYD*****A,,SPY-A,96000.0,11.2,14.8,3225.0
